Date,PMMoV_gc_g_dry_weight,Plant,Population_Served,SC2_N_gc_g_dry_weight,SC2_Norm
11/1/2023,9447809919,Turlock_RWQCF,86000,25741.21134,2.724569139749755e-06
11/2/2023,,Turlock_RWQCF,86000,,
11/3/2023,1817353473,Turlock_RWQCF,86000,13470.68341,7.4122528254658965e-06
11/4/2023,,Turlock_RWQCF,86000,,
11/5/2023,,Turlock_RWQCF,86000,,
11/6/2023,373259500,Turlock_RWQCF,86000,34573.83268,9.262679899634787e-05
11/7/2023,,Turlock_RWQCF,86000,,
11/8/2023,397789201.1,Turlock_RWQCF,86000,35502.99011,8.925076399329914e-05
11/9/2023,,Turlock_RWQCF,86000,,
11/10/2023,2290665505,Turlock_RWQCF,86000,39380.64932,1.7191793929304313e-05
11/11/2023,,Turlock_RWQCF,86000,,
11/12/2023,,Turlock_RWQCF,86000,,
11/13/2023,136320887.1,Turlock_RWQCF,86000,12584.53986,9.231556610983128e-05
11/14/2023,,Turlock_RWQCF,86000,,
11/15/2023,562834401.9,Turlock_RWQCF,86000,106783.5505,0.000189725
11/16/2023,,Turlock_RWQCF,86000,,
11/17/2023,361277782.8,Turlock_RWQCF,86000,19235.20622,5.324215086555934e-05
11/18/2023,,Turlock_RWQCF,86000,,
11/19/2023,,Turlock_RWQCF,86000,,
11/20/2023,26892429.64,Turlock_RWQCF,86000,2318.90245,8.622881908843282e-05
11/21/2023,,Turlock_RWQCF,86000,,
11/22/2023,297147844.5,Turlock_RWQCF,86000,89398.41723,0.000300855
11/23/2023,,Turlock_RWQCF,86000,,
11/24/2023,292466730.6,Turlock_RWQCF,86000,79958.9016,0.000273395
11/25/2023,,Turlock_RWQCF,86000,,
11/26/2023,,Turlock_RWQCF,86000,,
11/27/2023,263893253.4,Turlock_RWQCF,86000,40635.27935,0.000153984
11/28/2023,,Turlock_RWQCF,86000,,
11/29/2023,283858652.4,Turlock_RWQCF,86000,26606.4066,9.373118053707485e-05
11/30/2023,,Turlock_RWQCF,86000,,
12/1/2023,1012065113,Turlock_RWQCF,86000,54729.15438,5.407671270597163e-05
12/2/2023,,Turlock_RWQCF,86000,,
12/3/2023,,Turlock_RWQCF,86000,,
12/4/2023,385598356.9,Turlock_RWQCF,86000,100514.2862,0.000260671
12/5/2023,,Turlock_RWQCF,86000,,
12/6/2023,224359809,Turlock_RWQCF,86000,61843.26657,0.000275643
12/7/2023,,Turlock_RWQCF,86000,,
12/8/2023,143509463.4,Turlock_RWQCF,86000,90478.43505,0.00063047
12/9/2023,,Turlock_RWQCF,86000,,
12/10/2023,,Turlock_RWQCF,86000,,
12/11/2023,182469858.1,Turlock_RWQCF,86000,97058.78846,0.000531917
12/12/2023,,Turlock_RWQCF,86000,,
12/13/2023,343270913.7,Turlock_RWQCF,86000,48521.75221,0.000141351
12/14/2023,,Turlock_RWQCF,86000,,
12/15/2023,247586320.4,Turlock_RWQCF,86000,238041.7356,0.000961449
12/16/2023,,Turlock_RWQCF,86000,,
12/17/2023,,Turlock_RWQCF,86000,,
12/18/2023,335069153,Turlock_RWQCF,86000,85319.08657,0.000254631
12/19/2023,,Turlock_RWQCF,86000,,
12/20/2023,3083632139,Turlock_RWQCF,86000,110684.9235,3.5894334524356294e-05
12/21/2023,,Turlock_RWQCF,86000,,
12/22/2023,543211944.3,Turlock_RWQCF,86000,1219391.56,0.00224478
12/23/2023,,Turlock_RWQCF,86000,,
12/24/2023,,Turlock_RWQCF,86000,,
12/25/2023,520397127.6,Turlock_RWQCF,86000,61089.65205,0.00011739
12/26/2023,,Turlock_RWQCF,86000,,
12/27/2023,167258949.5,Turlock_RWQCF,86000,48803.15128,0.000291782
12/28/2023,,Turlock_RWQCF,86000,,
12/29/2023,245145986.8,Turlock_RWQCF,86000,95605.39956,0.000389994
12/30/2023,,Turlock_RWQCF,86000,,
12/31/2023,,Turlock_RWQCF,86000,,
1/1/2024,426920634.6,Turlock_RWQCF,86000,610080.7272,0.001429026
1/2/2024,,Turlock_RWQCF,86000,,
1/3/2024,248570908.7,Turlock_RWQCF,86000,132238.7068,0.000531996
1/4/2024,,Turlock_RWQCF,86000,,
1/5/2024,788273837.2,Turlock_RWQCF,86000,318429.8996,0.000403958
1/6/2024,,Turlock_RWQCF,86000,,
1/7/2024,,Turlock_RWQCF,86000,,
1/8/2024,166249365.8,Turlock_RWQCF,86000,30453.29051,0.000183178
1/9/2024,,Turlock_RWQCF,86000,,
1/10/2024,412867203.4,Turlock_RWQCF,86000,342337.2193,0.00082917
1/11/2024,,Turlock_RWQCF,86000,,
1/12/2024,248275149.2,Turlock_RWQCF,86000,28377.02958,0.000114297
1/13/2024,,Turlock_RWQCF,86000,,
1/14/2024,,Turlock_RWQCF,86000,,
1/15/2024,665571424.7,Turlock_RWQCF,86000,57662.08714,8.66354609046089e-05
1/16/2024,,Turlock_RWQCF,86000,,
1/17/2024,562024358.7,Turlock_RWQCF,86000,45578.61803,8.109722883582527e-05
1/18/2024,,Turlock_RWQCF,86000,,
1/19/2024,359851759.5,Turlock_RWQCF,86000,83757.53952,0.000232756
1/20/2024,,Turlock_RWQCF,86000,,
1/21/2024,,Turlock_RWQCF,86000,,
1/22/2024,615005410.7,Turlock_RWQCF,86000,107149.4542,0.000174225
1/23/2024,,Turlock_RWQCF,86000,,
1/24/2024,433315248.9,Turlock_RWQCF,86000,1005750.532,0.00232106
1/25/2024,,Turlock_RWQCF,86000,,
1/26/2024,430535909.2,Turlock_RWQCF,86000,389834.2293,0.000905463
1/27/2024,,Turlock_RWQCF,86000,,
1/28/2024,,Turlock_RWQCF,86000,,
1/29/2024,1012125259,Turlock_RWQCF,86000,100541.9752,9.933748252236466e-05
1/30/2024,,Turlock_RWQCF,86000,,
1/31/2024,734685119.9,Turlock_RWQCF,86000,50376.44173,6.856875193287988e-05
2/1/2024,,Turlock_RWQCF,86000,,
2/2/2024,314488626.2,Turlock_RWQCF,86000,659293.9851,0.0020964
